"","X","beach.name","job","age.respondent","years.fisheries","no.days.per.month.lake","choice.fishing.area","catch.size.change","catch.change.trend","catch.change.amount","catch.change.type","catch.cause.size.change","comment.unedited","water.clarity.change","water.smell.change","fish.spp.change","fish.abundance.change","change.aquatic.plants","total.plant.abundance.change","earliest.algal.bloom","bloom.effect.waterqual","bloom.effect.business","bloom.effect.fish","cause.bloom","future.for.fishery"
"354",13,"Mainuga","Crew",20,3,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",NA,"color change","decrease in fish business or profit","reduces quantity","waste or pollution","N"
"355",14,"Mainuga","Crew",25,10,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2009,"odor change","unimpacted","disappearance of fish","waste or pollution","Y"
"356",15,"Mainuga","Boat owner",59,20,24,"fishing quality and fish availability","N","","","","","","reduced","increased","no change","no change","increased","increased",2007,"odor change","decrease in fish business or profit","results in fish mortalities","water hyacinth","N"
"357",16,"Mainuga","Crew",26,16,16,"fishing quality and fish availability","N","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2004,"odor change","decrease in fish business or profit","reduces quantity","waste or pollution","N"
"358",17,"Mainuga","Boat owner",25,7,24,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","increased","increased","reduced","reduced","increased","increased",1998,"odor change","decrease in fish business or profit","disappearance of fish","waste or pollution","N"
"359",18,"Mainuga","Boat owner",31,11,24,"fishing quality and fish availability","Y","no change","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","no change","increased","increased",2007,"odor change","unimpacted","no effect","water hyacinth","Y"
"360",19,"Mainuga","Boat owner",27,12,30,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2009,"odor change","decrease in fish business or profit","not good","waste or pollution","Y"
"361",20,"Mainuga","Crew",27,3,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2007,"odor change","decrease in fish business or profit","disappearance of fish","rain","Y"
"362",21,"Mainuga","Crew",30,13,24,"fishing quality and fish availability","Y","reduced","reduced","reduced","climate change","","reduced","increased","reduced","reduced","increased","increased",2004,"odor change","decrease in fish business or profit","disappearance of fish","change in weather","Y"
"363",22,"Mainuga","Crew",26,6,15,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","increased","reduced","increased","increased",2005,"poor water quality ","decrease in fish business or profit","results in fish mortalities","water hyacinth","N"
"364",23,"Mainuga","Crew",38,11,24,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2004,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"365",24,"Mainuga","Crew",24,5,24,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","increased","reduced","increased","increased",1998,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"366",25,"Mainuga","Crew",21,14,21,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2003,"poor water quality ","decrease in fish business or profit","results in fish mortalities","rain","N"
"367",26,"Mainuga","Crew",36,14,26,"proximity","Y","reduced","reduced","reduced","climate change","","reduced","increased","increased","reduced","increased","increased",2006,"poor water quality ","decrease in fish business or profit","results in fish mortalities","water hyacinth","N"
"368",27,"Mainuga","Boat owner",30,10,24,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","increased","increased","increased","increased",2005,"poor water quality ","decrease in fish business or profit","results in fish mortalities","rain","Y"
"369",28,"Mainuga","Crew",54,14,20,"proximity","Y","reduced","reduced","reduced","overfishing or increase in fisher population","","reduced","increased","increased","increased","increased","increased",2005,"poor water quality ","decrease in fish business or profit","results in fish mortalities","natural causes","Y"
"370",29,"Mainuga","Boat owner",44,18,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",1998,"odor change","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"371",30,"Mainuga","Crew",33,14,30,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2007,"poor water quality ","decrease in fish business or profit","reduces quantity","waste or pollution","N"
"372",31,"Mainuga","Crew",36,15,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","reduced","increased",2012,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"373",32,"Mainuga","Crew",25,15,5,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","no smell","reduced","reduced","reduced","reduced",2007,"poor water quality ","unimpacted","negatively impacts fish","waste or pollution","N"
"374",33,"Mainuga","Crew",36,15,28,"proximity","Y","reduced","increased","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2003,"poor water quality ","decrease in fish business or profit","interferes with breeding zones","uncertain","Y"
"375",34,"Mainuga","Crew",23,3,26,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","seasonal","seasonal",2014,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","Y"
"376",35,"Mainuga","Boat owner",35,15,26,"proximity","Y","reduced","reduced","Increase","unknown","","reduced","increased","increased","increased","increased","increased",2012,"poor water quality ","decrease in fish business or profit","results in fish mortalities","uncertain","Y"
"377",36,"Mainuga","Crew",49,20,30,"proximity","Y","reduced","reduced","reduced","climate change","","reduced","increased","reduced","reduced","increased","increased",2009,"poor water quality ","decrease in fish business or profit","results in fish mortalities","water hyacinth","N"
"378",37,"Mainuga","Crew",30,10,20,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2004,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"379",38,"Mainuga","Crew",21,6,21,"proximity","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","increased","reduced","increased",2008,"poor water quality ","increase in fish business (price) due to high demand (shortage)","acts as food for fish","water hyacinth","N"
"380",39,"Mainuga","Crew",23,4,26,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","no smell","reduced","reduced","increased","increased",2014,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","Y"
"381",40,"Mainuga","Crew",21,3,15,"fishing quality and fish availability","Y","reduced","reduced","Increase","seasonal","","reduced","no smell","increased","reduced","reduced","reduced",2014,"poor water quality ","decrease in fish business or profit","suffocates fish","waste or pollution","Y"
"382",41,"Mainuga","Boat owner",53,38,25,"fishing quality and fish availability","Y","reduced","reduced","Increase","illegal or unregulated fishing gear","","reduced","increased","increased","reduced","increased","reduced",1985,"poor water quality ","increase in fish business (price) due to high demand (shortage)","acts as food for fish","rain","N"
"383",42,"Mainuga","Crew",26,4,12,"water quality","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2014,"poor water quality ","decrease in fish business or profit","acts as food for fish","water hyacinth","N"
"384",43,"Mainuga","Crew",48,21,5,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",1998,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"385",44,"Mainuga","Crew",55,30,30,"proximity","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",1995,"poor water quality ","decrease in fish business or profit","interferes with movement","current","N"
"386",45,"Mainuga","Crew",29,11,30,"wind direction","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2006,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"387",46,"Mainuga","Boat owner",30,17,22,"fishing quality and fish availability","Y","reduced","reduced","reduced","pollution","","reduced","increased","reduced","reduced","increased","increased",2002,"color change","decrease in fish business or profit","results in fish mortalities","waste or pollution","Y"
"388",47,"Mainuga","Crew",43,13,26,"safe, no theft","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"389",48,"Mainuga","Crew",25,1,21,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","reduced","reduced","reduced","increased","increased",2014,"poor water quality ","decrease in fish business or profit","results in fish mortalities","waste or pollution","N"
"390",49,"Mainuga","Crew",27,4,26,"less competition","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2014,"poor water quality ","decrease in fish business or profit","interferes with breeding zones","waste or pollution","N"
"391",50,"Mainuga","Crew",34,10,21,"fishing quality and fish availability","Y","reduced","reduced","reduced","illegal or unregulated fishing gear","","reduced","increased","reduced","reduced","increased","increased",2012,"poor water quality ","decrease in fish business or profit","interferes with breeding zones","waste or pollution","N"
